Sr No, Blood Bank Name, State, District, City, Address,Pincode, Contact No, Mobile, Helpline, Fax, Email, Website, Nodal Officer , Contact Nodal Officer, Mobile Nodal Officer, Email Nodal Officer, Qualification Nodal Officer, Category, Blood Component Available, Apheresis, Service Time, License #, Date License Obtained, Date of Renewal, Latitude, Longitude, Contact.No.1, Contact.No.2, Contact.No.3, Contact.No.4, Contact.No.5, Contact.No.6, Contact.No.7
751,Bagalkot Blood Bank,Karnataka,BAGALKOT,Bagalkot,"Hanagal Shree Kumareshwar Hospital and Research Centre, Ilkal Road",587101,0835 220420,9448939708,,,,,Dr. Manika Alexander,835220420,9448939708,bagalkotbloodbankbagalkot@gmail.com,Medical officer,Private,NO,NO,24X7,KTK/28C-129/2001 ,17-05-2001,2017,16.186132,75.70653,0835 220420,,,,,,
752,B. V. V. Sanghas HSK Hospital Blood Bank,Karnataka,BAGALKOT,Bagalkot,"Navanagar, Bagalkot",587102,08352 235410 ,9448939768,,,,,Dr. V. S. Malipatil,8352235410,9448939768,,Medical Officer,Private,YES,YES,24X7,KTK/28C-172/2004,27-07-2004,2019,16.165075,75.675072,08352 235410 ,,,,,,
753,District Hospital Blood Bank Bagalkot,Karnataka,BAGALKOT,Bagalkot,Navanagar,587101,0835 4236030,9448037225,,,,,Dr. N.S . Bekinal,0835 4236030,9448037225,,Medical officer,Government,NO,NO,24X7,KTK/28C-202/ 2007,12/6/2007,11/6/2017,16.165011,75.660812,0835 4236030,,,,,,
754,M/s. Vijay Mahant Blood Bank,Karnataka,BAGALKOT,Ilkal,"Sri Basaveshwara Childrens Hospital & Research Centre,
Gorbal Naka",587125,08351 270838,9448293298,,,vijayamahantbloodbank@gmail.com ,,Dr. Mahalingappa. B. G.,8351270838,9448293298,vijayamahantbloodbank@gmail.com,Pathologist,Private,YES,NO,24X7,KTK/28C-295/15,12/23/2015,12/22/2020,15.9634037,76.1165421,08351 270838,,,,,,
755,Mounesh Hospital&#39;s The Jhamkandi Blood Bank,Karnataka,BAGALKOT,Jamkhandi,"Near P.B. High School, Uma Rameshwar Road",587101,08353 22357,9448405435,,,,,Dr. Abhay Suresh Watwe,08353 22357,9448405435,thejkdbloodbank@gmail.com,Medical officer,Private,NO,NO,24X7,KTK/28C-201/ 2007 ,12/6/2007,,#N/A,#N/A,08353 22357,,,,,,
756,Ramanagoudar Hospital Blood Bank,Karnataka,BAGALKOT,Mudhol," 2nd floor, CTS, No.4042/B17, Near Kathi Kalyan Mantap ",587313,08350 281999,9448987785,,,,,Dr. Usha C. Basaraddi,08350 4281999,9448987785,mahadevrhbb@gmail.com,Medical officer,Private,NO,NO,24X7,KTK/28C/258/2013,3/6/2013,2/6/2018,15.364709,75.123955,08350 281999,,,,,,
757,M/s. Sai Aadhar Hospital Blood Bank,Karnataka,BAGALKOT,Mudhol,"Sai Aadhar Hospital, Yadwad Road",587313,08350 282100,9880723163,,,saiaadhar2010@gmail.com,,Dr. Savitha Shetter,08350 282100,9880723163,saiaadhar2010@gmail.com,Pathologist,Private,NO,NO,24X7,KTK/28C-289/15,17-07-2015,16/07/2020,16.325218,75.289397,08350 282100,,,,,,
758,K.L.E.Society & Medical Research Centre Blood Bank,Karnataka,Belgaum,Belgaum,Nehru Nagar,590010,0832 2473777,9448273131,,,,,Dr. Raghavenra,0832 2473777,9448273131,medicaldirector@klehopital.org,Medical Officer,Private,YES,NO,24X7,KTK/28C-23/96,14-02-1997,30-11-2017,15.887919,74.519593,0832 2473777,,,,,,
759,Belgaum Blood Bank and Diagnostic Laboratory,Karnataka,Belgaum,Belgaum,"3137, Huns Talkies Road, (opposite to Central High School)",590001,0831 2425835,94481610492,,,,,Dr. Vijaykumar Telsang,0831 2425835,94481610492,,Medical officer,Private,NO,NO,24X7,KTK/28C-28/96,01.01.1996,2016,15.860356,74.512478,0831 2425835,,,,,,
760,District Hospital Blood Bank,Karnataka,Belgaum,Belgaum,Dr. B. R. Ambedkar Road,590001,0831 2425073,9448989739,,,,,Dr. Amit,0831 2425073,9886685302,belgaum.bims@gmail.com,Medical officer,Government,YES,NO,24X7,KTK/28C-44/97,22-03-1997,30-11-2017,15.86908,74.510438,0831 2425073,,,,,,
761,Shree Mahaveer Blood Bank,Karnataka,Belgaum,Belgaum," 4th Floor, Radio Complex, CTS No. 116/1A, Shivaji Road",590001,0831 2430759,9480275212,,,,,Dr. Vadindra B. Yelburgi,0831 2430759,9480275212,Shreemahaveerbb@gmail.com,Medical Officer,Private,NO,NO,24X7,KTK/28C-294/2013,21-06-2013,20-06-2018,15.854367,74.511233,0831 2430759,,,,,,
762,M/s. Sri Sai Blood Bank,Karnataka,Belgaum,Belgaum,"Shri Sai Hospital, No:40/2, Laxmi Nagar Main Road,
Vadagaon",590005,0831 2496444,9986399216,,,,,Dr. C. S. Hanchinamani,8312496444,9986399216,drdodamani@gmail.com,Pathologist,Private,NO,NO,24X7,KTK/28C-282/15,20-03-2015,19-03-2020,15.833587,74.526571,0831 2496444,,,,,,
763,Rotary Charitable Trust Blood Bank,Karnataka,Belgaum,Chikkodi,"New Extension Area, Nippani",591237,08338 221377,9448121366,,,,,Dr. Pankaj Deshmane,0831 2220702,9448121366,,Medical Officer,Charity,NO,NO,24X7,KTK/28C-195/ 2006,30-12-2011,Pending since 2012,16.160173,74.812128,08338 221377,,,,,,
764,Rotary Seva Sangh Blood Bank,Karnataka,Belgaum,Gokak," R. S. No. 211/B, Plot No. 14C, Yogikolla Road",591307,0831 225300,9448111151,,,,,Dr. B. R. Kappalguddi,0831 225300,9448111151,uajari@gmail.com,Medical officer,Charity,NO,NO,24X7,KTK/28C-204/ 2007,30-07-2007,30-06-2017,16.160405,74.81216,0831 225300,,,,,,
765,Medical College Hospital Blood Bank,Karnataka,BELLARY,Bellary,"Vijayanagara Institute of Medical Science (VIMS), Bellary",583104,08392 235356,9449463366,,,,,Dr. Nagarekha Kularani,08392 235356,9740637002,vimsbloodbank@gmail.com,Medical officer,Private,YES,YES,24X7,KTK/28C-40/97,18-03-1997,18-02-2017,15.154334,76.896594,08392 235356,,,,,,
766,District Hospital Blood Bank Bellary,Karnataka,BELLARY,Bellary,Bellary.,,,,,,,,,,,,,Government,NO,NO,24X7,KTK/28C-63/97,5/5/1997,Pending,15.1393932,76.9214428,,,,,,,
767,Swamy Vivekananda Charitable Blood Bank,Karnataka,BELLARY,Bellary,"D. No.130, Near TVS Show Room, Parvathinagar Main Road",583103,0839 266938,9880080389,,,,,Dr. T. Raja Gopala Reddy,0839 266938,9880080389,svcbb@rocketmail.com,Medical Officer,Charity,YES,YES,24X7,KTK/28C-199/ 2007,1/6/2007,2017,15.1524155,76.9247396,0839 266938,,,,,,
768,Smt. Vasantidevi Baldota Blood Bank,Karnataka,BELLARY,Hospet,"Baldota Colony, Dam Road, Hospet",583203,0839 231901 ,9945188052,,,,,Dr. S. D. Sulochana,0839 231901,9945188052,bloodbank@msplimited.com,Medical officer,Private,YES,NO,24X7,KTK/28C-132/2001,13-06-2001,30-11-2017,15.260432,76.3812983,0839 231901 ,,,,,,
769,Chiranjeevi Blood Bank,Karnataka,BELLARY,Hospet,"Near Vijayanagara Colony, 100 Bed Hospital Road, Amaravathi",583201,0839 262275  ,9972233066,,,,,Dr. Sumangala,0839 262275,9972233066,,Medical officer,Private,YES,NO,24X7,KTK/28C-242/2011,13-09-2011,13-08-2016,#N/A,#N/A,0839 262275  ,,,,,,
770,M/s. Sri Siddartha Medical College Hospital Blood Bank,Karnataka,BENGALURU RURAL,Bangalore,"Sri Siddhartha Medical College & Hospital, T.Begur, Nelamangala Tq",562123,,9901669103,,,,,Dr. Iqbal Ahmed Shariff,,9901669103,dr_ias@yahoo.com,Pathologist,Private,YES,NO,24X7,KTK/28C-285/15,23-05-2015,22-05-2020,13.160791,77.323405,,,,,,,
771,MVJ Medical College and Research Hospital Blood Bank,Karnataka,BENGALURU RURAL,Hosakote,"Dandupalya, Kolathur Post, NH-4",560164,080 27931473,9844021613,,,,,Dr. Vidya Bhat,080 27931473,9844021613,,Medical officer,Private,YES,NO,24X7,KTK/28C-185/2005,13-02-2006,Pending,13.077457,77.811502,080 27931473,,,,,,
