Sr No, Blood Bank Name, State, District, City, Address,Pincode, Contact No, Mobile, Helpline, Fax, Email, Website, Nodal Officer , Contact Nodal Officer, Mobile Nodal Officer, Email Nodal Officer, Qualification Nodal Officer, Category, Blood Component Available, Apheresis, Service Time, License #, Date License Obtained, Date of Renewal, Latitude, Longitude, Contact.No.1, Contact.No.2, Contact.No.3, Contact.No.4, Contact.No.5, Contact.No.6, Contact.No.7
1,Bagalkot Blood Bank,Karnataka,BAGALKOT,Bagalkot,"Hanagal Shree Kumareshwar Hospital and Research Centre, Ilkal Road",587101,0835 220420,9448939708,,,,,Dr. Manika Alexander,835220420,9448939708,bagalkotbloodbankbagalkot@gmail.com,Medical officer,Private,NO,NO,24X7,KTK/28C-129/2001 ,17-05-2001,2017,16.186132,75.70653,0835 220420,,,,,,
2,B. V. V. Sanghas HSK Hospital Blood Bank,Karnataka,BAGALKOT,Bagalkot,"Navanagar, Bagalkot",587102,08352 235410 ,9448939768,,,,,Dr. V. S. Malipatil,8352235410,9448939768,,Medical Officer,Private,YES,YES,24X7,KTK/28C-172/2004,27-07-2004,2019,16.165075,75.675072,08352 235410 ,,,,,,
3,District Hospital Blood Bank Bagalkot,Karnataka,BAGALKOT,Bagalkot,Navanagar,587101,0835 4236030,9448037225,,,,,Dr. N.S . Bekinal,0835 4236030,9448037225,,Medical officer,Government,NO,NO,24X7,KTK/28C-202/ 2007,12-06-2007,11-06-2017,16.165011,75.660812,0835 4236030,,,,,,
4,M/s. Vijay Mahant Blood Bank,Karnataka,BAGALKOT,Ilkal,"Sri Basaveshwara Childrens Hospital & Research Centre,
Gorbal Naka",587125,08351 270838,9448293298,,,vijayamahantbloodbank@gmail.com ,,Dr. Mahalingappa. B. G.,8351270838,9448293298,vijayamahantbloodbank@gmail.com,Pathologist,Private,YES,NO,24X7,KTK/28C-295/15,12/23/2015,12/22/2020,15.9634037,76.1165421,08351 270838,,,,,,
5,Mounesh Hospital&#39;s The Jhamkandi Blood Bank,Karnataka,BAGALKOT,Jamkhandi,"Near P.B. High School, Uma Rameshwar Road",587101,08353 22357,9448405435,,,,,Dr. Abhay Suresh Watwe,08353 22357,9448405435,thejkdbloodbank@gmail.com,Medical officer,Private,NO,NO,24X7,KTK/28C-201/ 2007 ,12-06-2007,,#N/A,#N/A,08353 22357,,,,,,
6,Ramanagoudar Hospital Blood Bank,Karnataka,BAGALKOT,Mudhol," 2nd floor, CTS, No.4042/B17, Near Kathi Kalyan Mantap ",587313,08350 281999,9448987785,,,,,Dr. Usha C. Basaraddi,08350 4281999,9448987785,mahadevrhbb@gmail.com,Medical officer,Private,NO,NO,24X7,KTK/28C/258/2013,03-06-2013,02-06-2018,15.364709,75.123955,08350 281999,,,,,,
7,M/s. Sai Aadhar Hospital Blood Bank,Karnataka,BAGALKOT,Mudhol,"Sai Aadhar Hospital, Yadwad Road",587313,08350 282100,9880723163,,,saiaadhar2010@gmail.com,,Dr. Savitha Shetter,08350 282100,9880723163,saiaadhar2010@gmail.com,Pathologist,Private,NO,NO,24X7,KTK/28C-289/15,17-07-2015,16-07-2020,16.325218,75.289397,08350 282100,,,,,,
8,K.L.E.Society & Medical Research Centre Blood Bank,Karnataka,Belgaum,Belgaum,Nehru Nagar,590010,0832 2473777,9448273131,,,,,Dr. Raghavenra,0832 2473777,9448273131,medicaldirector@klehopital.org,Medical Officer,Private,YES,NO,24X7,KTK/28C-23/96,14-02-1997,30-11-2017,15.887919,74.519593,0832 2473777,,,,,,
9,Belgaum Blood Bank and Diagnostic Laboratory,Karnataka,Belgaum,Belgaum,"3137, Huns Talkies Road, (opposite to Central High School)",590001,0831 2425835,94481610492,,,,,Dr. Vijaykumar Telsang,0831 2425835,94481610492,,Medical officer,Private,NO,NO,24X7,KTK/28C-28/96,01.01.1996,2016,15.860356,74.512478,0831 2425835,,,,,,
10,District Hospital Blood Bank,Karnataka,Belgaum,Belgaum,Dr. B. R. Ambedkar Road,590001,0831 2425073,9448989739,,,,,Dr. Amit,0831 2425073,9886685302,belgaum.bims@gmail.com,Medical officer,Government,YES,NO,24X7,KTK/28C-44/97,22-03-1997,30-11-2017,15.86908,74.510438,0831 2425073,,,,,,
